x448,mlkem768,hqc192
3.03,2.97,51.66
3.06,2.4,51.82
2.87,2.27,51.44
3.02,2.31,50.52
2.79,2.21,51.1
2.71,2.68,51.78
2.73,2.62,52.72
2.89,2.45,52.93
2.79,2.43,50.87
3.08,2.43,51.1
2.99,2.44,50.65
2.94,2.37,50.69
2.88,2.18,50.54
2.84,2.51,50.9
3.06,2.41,51.3
2.98,2.28,50.55
2.61,2.27,51.6
2.88,2.22,51.46
2.67,2.21,52.01
2.79,2.45,52.15
2.95,2.38,53.35
2.87,2.13,50.87
2.72,2.15,51.53
3.1,2.19,50.47
3.08,2.11,50.51
2.91,2.48,51.68
3.27,2.41,54.48
3.02,2.13,51.85
2.93,2.22,51.34
2.83,2.09,51.57
3.35,2.0,52.5
3.38,2.31,52.14
2.98,1.99,51.61
3.32,2.09,51.53
2.69,2.08,50.72
2.91,2.09,50.72
3.08,2.33,50.73
3.04,2.02,50.49
2.84,2.06,52.26
3.13,1.99,50.81
3.02,2.02,51.66
2.87,2.31,51.8
3.02,2.16,52.42
3.37,2.4,51.44
3.12,2.06,52.23
3.02,2.12,50.27
2.89,1.97,51.86
2.99,2.0,51.56
2.87,2.24,50.93
2.9,2.05,51.55
2.76,2.17,51.9
2.92,2.12,53.19
2.85,2.59,51.23
3.11,2.59,50.33
2.78,2.32,51.66
2.78,2.1,51.77
2.76,2.01,53.3
2.86,2.18,52.18
3.04,2.02,51.08
3.31,2.12,50.14
2.88,2.07,50.94
2.82,2.09,50.95
2.99,2.09,53.77
3.28,2.13,52.53
2.93,2.18,52.2
2.94,2.1,59.37
2.96,2.12,51.72
3.58,2.1,51.02
2.76,2.1,52.69
2.9,2.26,52.03
3.14,1.97,51.32
2.98,1.99,51.87
3.51,2.32,56.33
2.94,2.11,51.27
2.75,2.17,51.5
3.15,2.37,50.73
2.78,2.34,50.86
3.07,2.55,51.02
3.01,2.45,53.88
2.96,2.28,51.16
2.62,2.14,51.73
2.73,3.21,51.86
2.64,2.59,51.21
2.71,2.79,52.69
2.89,3.0,51.47
2.78,2.54,50.99
2.75,2.18,51.74
2.85,2.12,50.64
2.76,2.16,51.68
2.95,2.24,51.51
3.13,2.41,51.9
2.83,2.12,51.22
3.23,2.21,53.75
2.92,2.09,53.95
3.62,2.04,57.05
3.2,2.17,50.74
2.94,2.06,58.31
3.24,2.02,50.62
3.53,2.7,50.77
3.17,2.64,50.96
3.14,2.22,52.26
2.98,2.27,50.79
3.3,2.07,51.59
2.88,2.34,50.95
3.08,2.63,51.94
2.67,2.15,51.02
2.68,2.09,51.0
3.28,2.21,51.88
2.87,2.35,51.44
3.9,2.18,50.48
2.95,2.28,50.28
3.49,2.75,51.44
3.66,2.56,50.59
2.96,2.29,56.55
