P-521,p521_mlkem1024,mlkem1024,p521_hqc256,hqc256
12.02,15.98,6.94,48.48,39.64
11.93,15.94,6.8,48.6,40.67
11.8,15.88,6.91,48.42,39.6
12.03,15.93,6.97,48.75,39.93
11.98,15.96,6.8,48.59,39.97
11.94,16.03,6.92,48.77,39.76
11.98,15.87,6.82,49.3,40.63
11.87,16.0,6.97,48.78,39.79
12.0,15.99,6.89,48.62,40.17
11.79,16.05,6.82,48.54,39.83
11.97,16.04,6.85,48.3,39.74
11.85,16.08,6.91,48.56,39.83
11.77,15.98,6.88,48.69,39.96
11.99,15.95,6.93,48.24,39.9
11.85,16.04,7.01,48.69,40.01
11.88,16.05,6.78,48.53,39.8
12.04,16.02,6.89,49.06,39.94
11.78,16.01,6.93,48.54,39.9
11.94,16.01,6.83,48.81,39.78
11.82,15.87,6.75,48.63,39.87
11.99,16.1,7.04,898542.95,39.74
11.76,16.15,6.83,48.79,40.0
11.94,16.03,6.9,48.55,39.86
11.96,15.93,6.84,49.01,39.86
11.73,16.0,6.83,48.53,40.5
11.99,16.04,6.84,48.93,39.68
11.85,15.97,6.97,48.8,40.14
11.87,16.72,6.72,48.76,40.23
11.98,16.04,6.89,49.59,39.84
11.86,16.07,6.92,48.68,40.0
11.98,16.07,6.8,49.23,40.23
11.94,16.13,6.78,48.77,40.03
11.85,15.97,6.94,48.73,40.0
11.87,16.1,6.78,49.19,39.82
11.96,16.06,6.8,49.15,40.01
12.0,16.05,6.83,48.92,40.03
11.98,16.09,6.77,49.16,39.94
11.91,16.09,6.9,48.73,39.95
11.8,16.07,6.99,48.91,39.71
11.83,16.11,6.86,48.89,39.88
11.88,16.07,6.9,48.64,40.46
11.98,16.14,6.76,48.58,40.3
11.93,16.06,6.87,48.67,40.07
12.03,15.98,6.81,49.05,39.98
11.8,16.08,7.4,49.37,41.99
11.99,15.94,7.01,49.12,42.09
12.05,15.88,6.78,48.81,39.62
11.86,15.98,6.82,48.74,39.54
12.08,15.88,6.98,48.83,39.61
11.85,15.98,6.86,49.04,40.91
